algorithm,graph,iteration,vertex,score
Reach Centrality,bottleneck,0,0,3
Reach Centrality,bottleneck,0,1,3
Reach Centrality,bottleneck,0,2,2
Reach Centrality,bottleneck,0,3,0
Reach Centrality,bottleneck,0,4,0
Reach Centrality,path,0,0,3
Reach Centrality,path,0,1,2
Reach Centrality,path,0,2,1
Reach Centrality,path,0,3,0
Reach Centrality,star-out,0,0,4
Reach Centrality,star-out,0,1,0
Reach Centrality,star-out,0,2,0
Reach Centrality,star-out,0,3,0
Reach Centrality,star-out,0,4,0
Reach Centrality,star-in,0,0,0
Reach Centrality,star-in,0,1,1
Reach Centrality,star-in,0,2,1
Reach Centrality,star-in,0,3,1
Reach Centrality,star-in,0,4,1
Reach Centrality,funnel,0,0,3
Reach Centrality,funnel,0,1,3
Reach Centrality,funnel,0,2,3
Reach Centrality,funnel,0,3,2
Reach Centrality,funnel,0,4,1
Reach Centrality,funnel,0,5,0
Reach Centrality,fork,0,0,5
Reach Centrality,fork,0,1,4
Reach Centrality,fork,0,2,3
Reach Centrality,fork,0,3,0
Reach Centrality,fork,0,4,0
Reach Centrality,fork,0,5,0
Reach Centrality,example 0,0,0,5
Reach Centrality,example 0,0,1,3
Reach Centrality,example 0,0,2,2
Reach Centrality,example 0,0,3,1
Reach Centrality,example 0,0,4,1
Reach Centrality,example 0,0,5,0
Reach Centrality,example 0,0,6,0
Reach Centrality,example 0,0,7,0
