Id,Label,Score
0,0,0.0
1,1,0.0
2,2,3.0E-4
3,3,0.0
4,4,3.0E-4
5,5,0.00453
6,6,6.0E-4
7,7,9.1E-4
8,8,6.0E-4
9,9,3.0E-4
10,10,3.0E-4
11,11,0.00121
12,12,0.0
13,13,0.0
14,14,3.0E-4
15,15,6.0E-4
16,16,0.0
17,17,3.0E-4
18,18,3.0E-4
19,19,3.0E-4
20,20,6.0E-4
21,21,0.0
22,22,3.0E-4
23,23,0.0
24,24,3.0E-4
25,25,0.0
26,26,0.0
27,27,0.0
28,28,0.0
29,29,9.1E-4
30,30,0.00181
31,31,3.0E-4
32,32,6.0E-4
33,33,0.00151
34,34,0.0
35,35,0.00181
36,36,0.0
37,37,6.0E-4
38,38,6.0E-4
39,39,0.0
40,40,0.00121
41,41,3.0E-4
42,42,0.0
43,43,0.0
44,44,3.0E-4
45,45,6.0E-4
46,46,0.0
47,47,0.0
48,48,0.0
49,49,0.0
50,50,0.0
51,51,0.0
52,52,3.0E-4
53,53,0.0
54,54,0.0
55,55,0.0
56,56,0.0
57,57,0.0
58,58,0.0
59,59,0.0
60,60,3.0E-4
61,61,0.0
62,62,0.0
63,63,0.01058
64,64,0.0
65,65,3.0E-4
66,66,3.0E-4
67,67,0.00181
68,68,0.0
69,69,0.00363
70,70,0.00967
71,71,0.01028
72,72,0.00272
73,73,0.0
74,74,0.0
75,75,3.0E-4
76,76,0.0
77,77,3.0E-4
78,78,0.0
79,79,6.0E-4
80,80,6.0E-4
81,81,0.0
82,82,6.0E-4
83,83,0.0
84,84,0.0
85,85,0.0
86,86,0.0
87,87,3.0E-4
88,88,0.0
89,89,3.0E-4
90,90,0.0
91,91,0.0
92,92,0.0
93,93,0.0
94,94,6.0E-4
95,95,3.0E-4
96,96,6.0E-4
97,97,0.0
98,98,3.0E-4
99,99,0.0
100,100,0.0
101,101,0.0
102,102,0.0
103,103,0.0
104,104,0.0
105,105,0.0
106,106,0.0
107,107,0.0
108,108,0.0
109,109,0.0
110,110,0.0
111,111,0.0
112,112,0.0
113,113,0.0
114,114,0.0
115,115,0.0
116,116,0.0
117,117,0.0
118,118,3.0E-4
119,119,0.0
120,120,3.0E-4
121,121,6.0E-4
122,122,6.0E-4
123,123,3.0E-4
124,124,0.0
125,125,0.0
126,126,0.0
127,127,0.0
128,128,0.0
129,129,0.0
130,130,0.0
131,131,3.0E-4
132,132,0.0
133,133,0.0
134,134,0.0
135,135,3.0E-4
136,136,0.0
137,137,0.0
138,138,3.0E-4
139,139,0.0
140,140,0.00121
141,141,6.0E-4
142,142,0.0
143,143,0.00816
144,144,0.0
145,145,0.0
146,146,3.0E-4
147,147,6.0E-4
148,148,3.0E-4
149,149,0.00544
150,150,0.00242
151,151,0.00544
152,152,0.0
153,153,3.0E-4
154,154,3.0E-4
155,155,3.0E-4
156,156,0.00272
157,157,9.1E-4
158,158,0.00514
159,159,0.0
160,160,0.00212
161,161,0.0
162,162,0.0
163,163,3.0E-4
164,164,3.0E-4
165,165,3.0E-4
166,166,3.0E-4
167,167,3.0E-4
168,168,9.1E-4
169,169,0.00514
170,170,0.0
171,171,0.0
172,172,0.0
173,173,0.0
174,174,0.0
175,175,0.0
176,176,3.0E-4
177,177,0.0
178,178,3.0E-4
179,179,9.1E-4
180,180,0.0
181,181,0.0
182,182,0.0
183,183,3.0E-4
184,184,6.0E-4
185,185,0.0
186,186,0.0
187,187,0.0
188,188,0.0
189,189,0.0
190,190,0.0
191,191,0.0
192,192,0.00121
193,193,0.0
194,194,0.00121
195,195,0.00121
196,196,0.0
197,197,0.0
198,198,3.0E-4
199,199,6.0E-4
200,200,0.0
201,201,9.1E-4
202,202,0.00181
203,203,0.00212
204,204,0.00212
205,205,0.00181
206,206,0.00363
207,207,0.00212
208,208,0.0
209,209,0.0
210,210,6.0E-4
211,211,3.0E-4
212,212,0.0
213,213,6.0E-4
214,214,9.1E-4
215,215,0.0
216,216,0.00151
217,217,9.1E-4
218,218,0.00151
219,219,0.0
220,220,3.0E-4
221,221,6.0E-4
222,222,6.0E-4
223,223,0.00121
224,224,0.0
225,225,9.1E-4
226,226,3.0E-4
227,227,0.00151
228,228,0.0
229,229,0.0
230,230,0.0
231,231,3.0E-4
232,232,0.0
233,233,0.0
234,234,0.0
235,235,0.0
236,236,9.1E-4
237,237,0.0
238,238,0.0
239,239,0.0
240,240,0.0
241,241,0.0
242,242,0.0
243,243,0.00272
244,244,0.0
245,245,0.00363
246,246,0.00181
247,247,0.0
248,248,0.0
249,249,0.00242
250,250,0.0
251,251,0.0
252,252,0.0
253,253,0.00212
254,254,0.00242
255,255,0.00212
256,256,3.0E-4
257,257,0.00212
258,258,0.00212
259,259,0.00121
260,260,0.00242
261,261,0.00272
262,262,9.1E-4
263,263,9.1E-4
264,264,0.0
265,265,9.1E-4
266,266,0.00121
267,267,9.1E-4
268,268,9.1E-4
269,269,0.0
270,270,0.0
271,271,6.0E-4
272,272,0.00242
273,273,0.0
274,274,9.1E-4
275,275,9.1E-4
276,276,0.00393
277,277,0.00423
278,278,0.00514
279,279,0.0
280,280,0.00484
281,281,0.0
282,282,0.00453
283,283,0.00453
284,284,0.00423
285,285,0.00453
286,286,0.00544
287,287,0.00574
288,288,0.0
289,289,0.00514
290,290,0.00453
291,291,0.0
292,292,3.0E-4
293,293,6.0E-4
294,294,3.0E-4
295,295,6.0E-4
296,296,0.00453
297,297,0.0
298,298,0.00453
299,299,0.0
300,300,0.00484
301,301,0.00484
302,302,0.00484
303,303,0.00484
304,304,0.00484
305,305,0.0
306,306,0.0
307,307,6.0E-4
308,308,0.0
309,309,3.0E-4
310,310,0.00151
311,311,3.0E-4
312,312,0.00484
313,313,6.0E-4
314,314,6.0E-4
315,315,0.00514
316,316,6.0E-4
317,317,0.0
318,318,6.0E-4
319,319,0.0
320,320,0.0
321,321,0.00363
322,322,6.0E-4
323,323,9.1E-4
324,324,9.1E-4
325,325,3.0E-4
326,326,6.0E-4
327,327,6.0E-4
328,328,0.0
329,329,9.1E-4
330,330,9.1E-4
331,331,9.1E-4
332,332,6.0E-4
333,333,0.00423
334,334,6.0E-4
335,335,0.00393
336,336,0.00544
337,337,0.00332
338,338,0.00242
339,339,0.0
340,340,0.00423
341,341,0.00363
342,342,9.1E-4
343,343,0.0
344,344,0.0
345,345,0.0
346,346,0.0
347,347,6.0E-4
348,348,0.00544
349,349,6.0E-4
350,350,0.00453
351,351,0.0
352,352,9.1E-4
353,353,0.00151
354,354,0.0
355,355,0.0
356,356,0.00212
357,357,3.0E-4
358,358,0.00121
359,359,3.0E-4
360,360,6.0E-4
361,361,3.0E-4
362,362,0.00484
363,363,6.0E-4
364,364,3.0E-4
365,365,3.0E-4
366,366,0.0
367,367,3.0E-4
368,368,0.00453
369,369,0.0
370,370,0.00484
371,371,0.00514
372,372,0.00423
373,373,0.0
374,374,3.0E-4
375,375,3.0E-4
376,376,3.0E-4
377,377,3.0E-4
378,378,6.0E-4
379,379,0.00574
380,380,0.00484
381,381,0.0
382,382,0.00453
383,383,0.00423
384,384,0.0
385,385,0.0
386,386,0.00484
387,387,3.0E-4
388,388,0.0
389,389,0.0
390,390,0.00514
391,391,0.0
392,392,0.0
393,393,0.00544
394,394,3.0E-4
395,395,0.0
396,396,0.00665
397,397,0.00151
398,398,0.00151
399,399,0.00302
400,400,0.00423
401,401,0.00181
402,402,0.00151
403,403,0.00151
404,404,0.00937
405,405,0.0
406,406,0.00635
407,407,0.0
408,408,0.00121
409,409,9.1E-4
410,410,0.00635
411,411,0.0
412,412,0.00121
413,413,9.1E-4
414,414,0.00574
415,415,0.0
416,416,0.0
417,417,0.00604
418,418,0.0
419,419,0.0
420,420,6.0E-4
421,421,0.00635
422,422,6.0E-4
423,423,9.1E-4
424,424,3.0E-4
425,425,0.00635
426,426,9.1E-4
427,427,9.1E-4
428,428,6.0E-4
429,429,6.0E-4
430,430,9.1E-4
431,431,9.1E-4
432,432,9.1E-4
433,433,3.0E-4
434,434,0.0
435,435,0.0
436,436,0.0
437,437,3.0E-4
438,438,6.0E-4
439,439,0.00212
440,440,0.0
441,441,0.00151
442,442,0.0
443,443,0.00121
444,444,3.0E-4
445,445,0.00181
446,446,3.0E-4
447,447,0.00181
448,448,0.0
449,449,0.0
450,450,3.0E-4
451,451,0.00121
452,452,0.00151
453,453,6.0E-4
454,454,6.0E-4
455,455,6.0E-4
456,456,6.0E-4
457,457,6.0E-4
458,458,6.0E-4
459,459,0.00151
460,460,0.00212
461,461,3.0E-4
462,462,6.0E-4
463,463,9.1E-4
464,464,0.00786
465,465,0.00272
466,466,6.0E-4
467,467,0.00665
468,468,0.00242
469,469,3.0E-4
470,470,6.0E-4
471,471,6.0E-4
472,472,0.0
473,473,0.0
474,474,6.0E-4
475,475,3.0E-4
476,476,6.0E-4
477,477,0.00121
478,478,0.0
479,479,0.0
480,480,3.0E-4
481,481,3.0E-4
482,482,3.0E-4
483,483,3.0E-4
484,484,0.00393
485,485,0.00453
486,486,0.0
487,487,0.0
488,488,0.0
489,489,0.00453
490,490,0.00725
491,491,0.00756
492,492,0.00544
493,493,0.00756
494,494,0.0
495,495,0.0
496,496,0.0
497,497,0.0
498,498,0.00423
499,499,0.0
500,500,0.0
501,501,3.0E-4
502,502,0.0
503,503,0.00302
504,504,0.00574
505,505,0.0
506,506,3.0E-4
507,507,0.0
508,508,0.0
509,509,0.0
510,510,0.0
511,511,0.00604
512,512,0.00604
513,513,0.00332
514,514,0.00574
515,515,0.0
516,516,0.0
517,517,0.0
518,518,0.0
519,519,0.0
520,520,0.00604
521,521,0.00604
522,522,0.00604
523,523,0.00876
524,524,0.00574
525,525,0.00332
526,526,0.00574
527,527,0.00332
528,528,0.00544
529,529,0.00363
530,530,3.0E-4
531,531,0.00363
532,532,3.0E-4
533,533,0.00393
534,534,0.00574
535,535,0.00604
536,536,0.00635
537,537,0.0
538,538,3.0E-4
539,539,9.1E-4
540,540,9.1E-4
541,541,3.0E-4
542,542,3.0E-4
543,543,0.00151
544,544,6.0E-4
545,545,3.0E-4
546,546,3.0E-4
547,547,6.0E-4
548,548,9.1E-4
549,549,6.0E-4
550,550,0.00121
551,551,6.0E-4
552,552,6.0E-4
553,553,6.0E-4
554,554,6.0E-4
555,555,6.0E-4
556,556,9.1E-4
557,557,9.1E-4
558,558,9.1E-4
559,559,0.0
560,560,6.0E-4
561,561,0.0
562,562,0.0
563,563,0.0
564,564,6.0E-4
565,565,3.0E-4
566,566,0.0
567,567,3.0E-4
568,568,6.0E-4
569,569,6.0E-4
570,570,9.1E-4
571,571,6.0E-4
572,572,6.0E-4
573,573,6.0E-4
574,574,0.0
575,575,3.0E-4
576,576,6.0E-4
577,577,0.00151
578,578,6.0E-4
579,579,9.1E-4
580,580,3.0E-4
581,581,9.1E-4
582,582,0.00212
583,583,6.0E-4
584,584,6.0E-4
585,585,3.0E-4
