Source,Target,Type
1,11,Directed
2,49,Directed
2,11,Directed
4,11,Directed
5,49,Directed
6,11,Directed
7,49,Directed
8,49,Directed
8,11,Directed
8,82,Directed
8,84,Directed
10,34,Directed
10,49,Directed
10,47,Directed
10,41,Directed
10,36,Directed
10,66,Directed
10,60,Directed
12,9,Directed
14,9,Directed
14,15,Directed
14,57,Directed
15,9,Directed
15,59,Directed
17,59,Directed
19,9,Directed
19,24,Directed
19,82,Directed
20,9,Directed
20,21,Directed
20,82,Directed
21,82,Directed
22,9,Directed
22,23,Directed
22,82,Directed
23,82,Directed
24,82,Directed
25,9,Directed
25,30,Directed
25,84,Directed
26,9,Directed
26,27,Directed
26,84,Directed
27,84,Directed
28,9,Directed
28,29,Directed
28,84,Directed
29,84,Directed
30,84,Directed
31,9,Directed
31,32,Directed
31,87,Directed
32,87,Directed
68,75,Directed
68,33,Directed
69,75,Directed
69,34,Directed
69,35,Directed
70,75,Directed
70,36,Directed
70,37,Directed
71,9,Directed
72,75,Directed
72,24,Directed
72,82,Directed
72,41,Directed
72,46,Directed
73,75,Directed
73,47,Directed
73,48,Directed
74,75,Directed
74,30,Directed
74,84,Directed
74,49,Directed
74,59,Directed
75,71,Directed
76,75,Directed
76,60,Directed
76,62,Directed
77,75,Directed
77,66,Directed
77,67,Directed
78,68,Directed
78,33,Directed
79,69,Directed
79,35,Directed
79,34,Directed
80,70,Directed
80,37,Directed
80,36,Directed
81,76,Directed
81,60,Directed
81,62,Directed
82,46,Directed
82,41,Directed
83,73,Directed
83,48,Directed
83,47,Directed
84,59,Directed
84,49,Directed
85,76,Directed
85,62,Directed
85,60,Directed
86,76,Directed
86,15,Directed
86,60,Directed
86,62,Directed
87,75,Directed
87,65,Directed
88,77,Directed
88,67,Directed
88,66,Directed
89,76,Directed
89,60,Directed
89,62,Directed
90,72,Directed
91,73,Directed
92,74,Directed
93,76,Directed
94,87,Directed
95,157,Directed
95,84,Directed
95,82,Directed
95,45,Directed
95,46,Directed
96,46,Directed
97,49,Directed
98,46,Directed
99,45,Directed
100,45,Directed
101,45,Directed
102,46,Directed
103,45,Directed
104,46,Directed
105,45,Directed
106,11,Directed
107,157,Directed
107,82,Directed
107,84,Directed
107,51,Directed
107,44,Directed
107,59,Directed
108,51,Directed
109,51,Directed
110,11,Directed
111,49,Directed
112,59,Directed
113,51,Directed
114,59,Directed
115,51,Directed
116,51,Directed
117,51,Directed
118,59,Directed
119,51,Directed
120,59,Directed
121,157,Directed
121,84,Directed
121,57,Directed
121,59,Directed
122,59,Directed
123,49,Directed
124,59,Directed
125,57,Directed
126,57,Directed
127,57,Directed
128,59,Directed
129,57,Directed
130,59,Directed
131,57,Directed
132,11,Directed
133,157,Directed
133,87,Directed
133,84,Directed
133,58,Directed
133,59,Directed
134,59,Directed
135,49,Directed
136,59,Directed
137,58,Directed
138,58,Directed
139,58,Directed
140,59,Directed
141,58,Directed
142,59,Directed
143,58,Directed
144,11,Directed
145,157,Directed
145,87,Directed
145,85,Directed
145,61,Directed
145,62,Directed
146,62,Directed
147,49,Directed
148,62,Directed
149,61,Directed
150,61,Directed
151,61,Directed
152,62,Directed
153,61,Directed
154,62,Directed
155,61,Directed
156,11,Directed
157,9,Directed
160,95,Directed
160,84,Directed
160,82,Directed
160,45,Directed
160,46,Directed
161,107,Directed
161,82,Directed
161,84,Directed
161,51,Directed
161,44,Directed
161,59,Directed
162,121,Directed
162,84,Directed
162,57,Directed
162,59,Directed
163,133,Directed
163,87,Directed
163,84,Directed
163,58,Directed
163,59,Directed
164,145,Directed
164,87,Directed
164,85,Directed
