Source,Target,Type
1,0,Directed
1,4,Directed
1,5,Directed
3,4,Directed
2,1,Directed
2,3,Directed
5,6,Directed
5,7,Directed
4,6,Directed
7,10,Directed
7,9,Directed
7,8,Directed
8,9,Directed
12,11,Directed
11,5,Directed
