algorithm,graph,iteration,vertex,score
Reach,jdk,0,3752,0.0481
Reach,jdk,0,4759,0.0481
Reach,jdk,0,5234,0.04887
Reach,jdk,0,5119,0.05072
Reach,jdk,0,4220,0.05087
Reach,jdk,0,3553,0.0558
Reach,jdk,0,3781,0.05596
Reach,jdk,0,3787,0.05596
Reach,jdk,0,5233,0.05596
Reach,jdk,0,3790,0.05611
